                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     59,               0.017178,              0.0099603,               0.022327,              0.0015997,                0.98976,                0.98468,                0.99063,                0.81411,                0.97047,                0.96585,                0.96379,                0.69847,                0.01521,              0.0099486,               0.015697,              0.0012163,               0.004258,               0.004258,               0.004258
                     60,               0.018033,              0.0097584,               0.021681,              0.0013442,                 0.9878,                0.97972,                0.98879,                0.84593,                0.95246,                0.95338,                0.94207,                0.69079,               0.012798,              0.0097602,               0.014631,             0.00094696,               0.004159,               0.004159,               0.004159
                     61,               0.017906,               0.010094,               0.021887,              0.0013544,                0.99137,                0.98613,                0.98865,                0.83781,                0.96302,                0.95861,                0.95344,                0.69007,               0.014344,              0.0096778,               0.015092,             0.00081059,                0.00406,                0.00406,                0.00406
                     62,               0.018086,               0.010467,               0.021425,              0.0012277,                0.99271,                0.98592,                0.98876,                0.85089,                0.95906,                0.94682,                0.93777,                0.67771,               0.013765,              0.0096091,               0.014762,              0.0008041,               0.003961,               0.003961,               0.003961
                     63,               0.017576,               0.010141,               0.021425,              0.0011384,                0.99126,                0.98701,                 0.9889,                0.82088,                0.96372,                0.96013,                0.95377,                0.67913,               0.016267,              0.0097012,               0.015498,             0.00081136,               0.003862,               0.003862,               0.003862
                     64,               0.017349,               0.010111,               0.020819,              0.0011749,                0.99162,                0.98686,                0.98923,                0.85733,                0.96636,                0.95781,                0.94994,                0.71658,               0.013201,              0.0099925,                0.01454,             0.00076163,               0.003763,               0.003763,               0.003763
                     65,               0.017119,              0.0098401,               0.021081,              0.0011101,                0.99245,                0.98485,                0.98924,                0.83226,                0.95595,                0.94941,                0.93196,                0.67412,               0.014287,              0.0094821,               0.014732,             0.00077299,               0.003664,               0.003664,               0.003664
                     66,               0.017086,               0.009834,               0.021593,               0.001348,                 0.9925,                0.98576,                0.98893,                0.84609,                0.97503,                0.97113,                0.96839,                0.72234,               0.012528,              0.0095674,               0.014183,             0.00079232,               0.003565,               0.003565,               0.003565
                     67,               0.016198,               0.009912,               0.021235,              0.0011602,                0.98984,                0.98676,                0.98885,                0.86159,                0.97722,                0.96077,                0.95937,                0.70146,               0.011909,              0.0096869,               0.014027,             0.00081096,               0.003466,               0.003466,               0.003466
                     68,               0.016187,              0.0095446,               0.021415,              0.0011562,                0.99122,                0.98712,                0.98873,                0.85357,                0.97365,                0.95913,                0.96456,                0.72197,               0.012573,              0.0096656,               0.014254,             0.00077755,               0.003367,               0.003367,               0.003367
