                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     53,                0.06296,               0.012131,               0.035842,               0.010454,                0.59418,                0.70526,                0.65358,                0.34878,                0.59389,                0.64795,                0.61387,                 0.3876,               0.064266,               0.020064,               0.026287,               0.006625,               0.008284,               0.008284,               0.008284
                     54,               0.057463,               0.012564,               0.041254,              0.0096448,                0.64495,                0.69062,                0.63956,                0.36026,                0.61478,                0.69481,                0.62109,                0.39043,                0.06192,                0.01788,               0.027737,              0.0061844,               0.008251,               0.008251,               0.008251
                     55,               0.054447,               0.012896,               0.036578,               0.010062,                0.57679,                0.68112,                0.62657,                0.29503,                0.60333,                0.65995,                0.65216,                 0.4524,               0.057833,                0.02374,               0.026852,               0.007457,               0.008218,               0.008218,               0.008218
                     56,               0.055964,               0.013467,               0.035643,              0.0094392,                0.42548,                0.79298,                0.60825,                0.28083,                0.44209,                0.72519,                 0.5585,                0.33524,               0.057224,                0.02317,               0.027191,              0.0070518,               0.008185,               0.008185,               0.008185
                     57,               0.052568,               0.013576,               0.035928,              0.0091619,                0.62771,                0.81817,                0.74521,                0.40658,                0.61238,                0.81768,                0.74876,                0.59359,                0.04735,               0.013182,               0.025475,              0.0045513,               0.008152,               0.008152,               0.008152
                     58,               0.048311,               0.014691,               0.038659,              0.0078969,                0.74817,                0.57053,                0.60862,                 0.3367,                0.81535,                0.47297,                0.57042,                 0.3671,               0.061477,               0.029704,               0.033211,               0.010153,               0.008119,               0.008119,               0.008119
                     59,               0.049675,               0.014337,               0.035974,              0.0092291,                0.58029,                0.68772,                 0.6671,                0.36268,                0.57571,                0.47589,                0.64393,                0.51761,               0.057187,               0.029326,               0.029976,              0.0092102,               0.008086,               0.008086,               0.008086
                     60,               0.056884,               0.012391,               0.036943,               0.007868,                0.65277,                0.69944,                 0.7038,                0.35402,                0.59279,                0.68239,                0.66696,                0.36901,               0.053053,               0.027081,               0.028244,              0.0074364,               0.008053,               0.008053,               0.008053
                     61,               0.051177,               0.014879,               0.033729,              0.0086373,                0.65277,                0.69944,                 0.7038,                0.35402,                0.59279,                0.68239,                0.66696,                0.36901,               0.053053,               0.027081,               0.028244,              0.0074364,                0.00802,                0.00802,                0.00802
                     62,               0.043994,               0.014131,               0.038395,              0.0082116,                0.69134,                0.70233,                0.78745,                0.45465,                0.69134,                0.70233,                0.74784,                0.48158,               0.046217,               0.030213,                 0.0257,              0.0072796,               0.007987,               0.007987,               0.007987
                     63,                 0.0424,               0.017164,               0.037938,               0.009029,                0.74168,                 0.7848,                 0.8095,                0.56081,                0.70081,                0.76725,                0.77934,                0.57867,               0.043294,               0.026709,               0.027821,              0.0070553,               0.007954,               0.007954,               0.007954
                     64,               0.046657,               0.014838,               0.039279,              0.0080126,                 0.5526,                0.81051,                0.73802,                0.41799,                0.52582,                0.79297,                0.69156,                0.48505,               0.044557,               0.025887,               0.027687,              0.0064579,               0.007921,               0.007921,               0.007921
                     65,               0.045174,               0.015434,               0.034907,              0.0086329,                0.58245,                0.84305,                0.80664,                0.48627,                0.52833,                0.81696,                0.74378,                0.56976,               0.039688,               0.016968,               0.024738,              0.0056007,               0.007888,               0.007888,               0.007888
                     66,               0.044634,               0.014873,               0.036053,              0.0078855,                0.70362,                0.66069,                0.72624,                0.44091,                0.70628,                0.65544,                0.72846,                 0.5266,               0.049508,               0.013415,                0.02578,              0.0050709,               0.007855,               0.007855,               0.007855
                     67,               0.053037,                0.01353,               0.038019,               0.007113,                0.42652,                0.87899,                0.57853,                0.27815,                0.35039,                0.80702,                0.55569,                 0.3886,                0.04949,               0.012188,               0.025646,              0.0050949,               0.007822,               0.007822,               0.007822
                     68,                0.05638,               0.012353,               0.036021,              0.0074051,                0.72644,                0.82981,                0.81903,                0.49927,                0.72175,                0.86227,                0.81334,                0.63317,               0.042125,               0.012109,               0.024715,              0.0052116,               0.007789,               0.007789,               0.007789
                     69,               0.043483,               0.012259,               0.037669,              0.0070663,                0.72644,                0.82981,                0.81903,                0.49927,                0.72175,                0.86227,                0.81334,                0.63317,               0.042125,               0.012109,               0.024715,              0.0052116,               0.007756,               0.007756,               0.007756
                     70,               0.039917,               0.012747,               0.038661,              0.0072546,                0.80983,                 0.8383,                0.80535,                0.53182,                  0.759,                0.85925,                0.78815,                0.58753,               0.037421,                0.01262,               0.023361,              0.0051716,               0.007723,               0.007723,               0.007723
                     71,               0.041043,               0.012396,               0.036937,              0.0069502,                0.60432,                0.86376,                0.84246,                0.51438,                0.58014,                0.87719,                 0.8332,                0.61613,               0.039609,               0.012451,               0.023975,              0.0048512,                0.00769,                0.00769,                0.00769
                     72,               0.047203,                0.01249,               0.032137,               0.006501,                0.61795,                0.80951,                0.79555,                0.51609,                0.64178,                0.82456,                0.77691,                0.55699,               0.043863,               0.013511,               0.024021,              0.0052586,               0.007657,               0.007657,               0.007657
                     73,               0.048973,               0.013786,               0.036114,              0.0077475,                0.55533,                0.82456,                 0.7576,                0.39746,                0.56311,                0.79074,                0.71372,                0.54034,               0.043772,               0.016027,               0.025143,              0.0068642,               0.007624,               0.007624,               0.007624
                     74,               0.044731,               0.012699,               0.034921,              0.0070776,                0.71833,                0.78794,                0.78385,                0.49041,                0.72008,                0.78713,                0.75883,                0.53932,                0.03975,                0.01497,               0.024952,              0.0063137,               0.007591,               0.007591,               0.007591
                     75,               0.042023,               0.012946,               0.030282,              0.0074505,                0.63145,                0.84485,                0.77173,                 0.4723,                0.62699,                  0.776,                0.71753,                0.57563,               0.043926,               0.013592,               0.025642,              0.0054783,               0.007558,               0.007558,               0.007558
                     76,                0.04314,               0.012546,               0.036278,              0.0057403,                0.60254,                0.83229,                0.81312,                0.46804,                0.65418,                0.78657,                0.75888,                0.54926,               0.044067,               0.013574,               0.026306,               0.005373,               0.007525,               0.007525,               0.007525
                     77,               0.047572,               0.012069,               0.036864,              0.0056058,                0.60254,                0.83229,                0.81312,                0.46804,                0.65418,                0.78657,                0.75888,                0.54926,               0.044067,               0.013574,               0.026306,               0.005373,               0.007492,               0.007492,               0.007492
                     78,               0.041927,               0.012679,               0.033716,              0.0056465,                0.66939,                0.82456,                0.81002,                0.49612,                0.66939,                0.82456,                0.78084,                0.58978,               0.040701,               0.013474,               0.026405,              0.0055401,               0.007459,               0.007459,               0.007459
                     79,               0.034837,               0.012866,               0.032806,              0.0070201,                0.80353,                0.82456,                0.83267,                0.52412,                0.77067,                0.80702,                0.76709,                0.61214,               0.035271,               0.012718,               0.026073,               0.005064,               0.007426,               0.007426,               0.007426
                     80,               0.043774,               0.013488,               0.037564,               0.006412,                 0.4462,                0.78947,                0.61885,                0.35614,                0.43125,                0.77193,                0.65582,                0.42036,               0.047863,               0.012869,               0.028278,              0.0054646,               0.007393,               0.007393,               0.007393
                     81,                0.04985,               0.013535,               0.034113,              0.0073136,                0.46783,                0.82456,                0.75637,                0.51463,                0.44054,                0.84211,                0.73734,                0.53906,               0.048686,               0.013387,               0.028164,              0.0053741,                0.00736,                0.00736,                0.00736
                     82,               0.047303,               0.013641,                0.03656,              0.0057538,                0.76136,                0.73566,                0.77427,                0.48065,                0.68726,                0.70755,                0.72551,                0.48293,               0.045004,               0.012777,               0.025097,              0.0053226,               0.007327,               0.007327,               0.007327
                     83,               0.044992,               0.011991,               0.036133,              0.0062413,                 0.6491,                0.75871,                0.77278,                0.41857,                 0.6491,                0.75871,                0.74989,                0.61162,               0.040767,               0.012569,               0.024319,              0.0042824,               0.007294,               0.007294,               0.007294
                     84,                0.04514,               0.013465,                0.03688,              0.0057679,                0.75581,                0.77443,                0.78804,                0.52668,                0.75581,                0.77443,                0.73946,                0.53879,               0.042097,               0.012793,               0.024517,              0.0050812,               0.007261,               0.007261,               0.007261
                     85,                0.04641,               0.012362,               0.034554,               0.006096,                0.75581,                0.77443,                0.78804,                0.52668,                0.75581,                0.77443,                0.73946,                0.53879,               0.042097,               0.012793,               0.024517,              0.0050812,               0.007228,               0.007228,               0.007228
                     86,               0.043078,               0.011838,               0.034525,              0.0057797,                0.65752,                0.76164,                  0.782,                0.50708,                0.61671,                0.79445,                0.73259,                0.52146,               0.041192,               0.013364,               0.024357,              0.0052849,               0.007195,               0.007195,               0.007195
                     87,               0.038578,                0.01342,               0.035803,              0.0074006,                0.69887,                0.87719,                0.81537,                0.54759,                0.67001,                0.84211,                0.74613,                0.57042,               0.034091,               0.013778,               0.023773,              0.0054325,               0.007162,               0.007162,               0.007162
                     88,               0.042389,               0.012749,               0.034953,              0.0073799,                 0.7874,                0.74503,                0.79942,                 0.4714,                0.73416,                0.70994,                0.71126,                0.48548,               0.044983,               0.013713,               0.024818,              0.0056065,               0.007129,               0.007129,               0.007129
                     89,               0.044461,               0.012076,               0.037341,              0.0059117,                 0.8456,                 0.8773,                0.86287,                0.53606,                0.81967,                0.86219,                0.82956,                0.64166,               0.032628,                0.01556,               0.023106,              0.0057461,               0.007096,               0.007096,               0.007096
                     90,                0.04049,               0.012668,               0.029846,              0.0068968,                0.70072,                0.79258,                0.84346,                0.54467,                 0.6188,                0.71518,                0.73464,                0.50292,               0.040427,               0.020096,               0.023426,              0.0057621,               0.007063,               0.007063,               0.007063
                     91,               0.044981,               0.010905,               0.033188,              0.0051693,                0.67478,                0.89474,                0.83539,                0.46786,                0.65152,                0.87719,                0.78497,                 0.5968,                0.04012,               0.018442,               0.023499,              0.0056122,                0.00703,                0.00703,                0.00703
                     92,               0.042352,               0.012803,               0.031784,              0.0067173,                0.71303,                0.85965,                0.81133,                0.52083,                 0.7199,                0.82314,                 0.7857,                0.55172,               0.037124,               0.017337,               0.022926,              0.0054451,               0.006997,               0.006997,               0.006997
                     93,               0.038269,               0.012861,                0.03716,              0.0055019,                0.71303,                0.85965,                0.81133,                0.52083,                 0.7199,                0.82314,                 0.7857,                0.55172,               0.037124,               0.017337,               0.022926,              0.0054451,               0.006964,               0.006964,               0.006964
                     94,               0.036147,               0.011915,               0.036593,              0.0050847,                0.73818,                0.79919,                0.78955,                0.51489,                0.71093,                0.77897,                0.74404,                0.53172,                0.03525,               0.014399,               0.022911,              0.0048866,               0.006931,               0.006931,               0.006931
                     95,               0.034239,               0.011627,               0.035241,              0.0047143,                0.78439,                0.84879,                0.83768,                0.56399,                0.67915,                0.83603,                0.75598,                0.55718,               0.029386,               0.012321,               0.022884,              0.0042583,               0.006898,               0.006898,               0.006898
                     96,               0.044105,               0.011294,               0.035401,               0.004111,                0.60692,                0.87251,                0.76016,                0.34354,                0.59658,                0.87719,                0.78004,                0.58664,               0.046506,               0.013271,               0.025547,              0.0043854,               0.006865,               0.006865,               0.006865
                     97,               0.046309,               0.012234,               0.035807,                0.00529,                0.76813,                0.77193,                0.80207,                0.49284,                0.71801,                0.75439,                0.75274,                0.55128,               0.042215,               0.011707,                0.02417,               0.003998,               0.006832,               0.006832,               0.006832
                     98,               0.042104,               0.012373,               0.033847,              0.0043757,                 0.7006,                0.84211,                0.83888,                 0.6014,                0.71285,                0.84211,                0.81288,                0.59686,                0.03655,               0.010631,               0.024223,              0.0033491,               0.006799,               0.006799,               0.006799
                     99,               0.039745,               0.012311,               0.031327,              0.0048615,                0.65146,                0.91228,                0.81675,                0.55809,                0.64832,                0.89474,                0.77378,                0.60459,               0.034483,               0.010634,               0.023468,              0.0034904,               0.006766,               0.006766,               0.006766
                    100,               0.035971,               0.012079,               0.031679,               0.005331,                0.59947,                0.76725,                 0.7555,                0.46038,                0.59947,                0.76725,                0.73595,                0.52561,               0.040531,               0.010903,               0.024467,              0.0034361,               0.006733,               0.006733,               0.006733
                    101,               0.039982,               0.012161,               0.032823,              0.0053666,                0.59947,                0.76725,                 0.7555,                0.46038,                0.59947,                0.76725,                0.73595,                0.52561,               0.040531,               0.010903,               0.024467,              0.0034361,                 0.0067,                 0.0067,                 0.0067
                    102,               0.038512,               0.010912,               0.032899,              0.0055348,                0.62416,                0.76725,                0.74282,                 0.4898,                0.56481,                0.78947,                0.71893,                0.52261,               0.039888,               0.011364,               0.023903,              0.0034784,               0.006667,               0.006667,               0.006667
                    103,               0.036037,               0.011732,               0.030541,              0.0043382,                0.72408,                0.92982,                0.81859,                0.53007,                0.72408,                0.92982,                0.79493,                0.58349,               0.034411,               0.011355,               0.023685,              0.0036558,               0.006634,               0.006634,               0.006634
                    104,               0.037526,               0.012698,               0.030448,              0.0052232,                0.66714,                0.94737,                0.85536,                0.54633,                0.65253,                0.89474,                0.82791,                0.59628,               0.036741,                0.01132,               0.024429,              0.0041553,               0.006601,               0.006601,               0.006601
                    105,               0.040125,               0.012538,               0.035904,              0.0047703,                0.77313,                0.82456,                0.83364,                0.49279,                0.69705,                0.69708,                0.71931,                0.51523,               0.039225,               0.011622,               0.024284,              0.0041061,               0.006568,               0.006568,               0.006568
                    106,               0.039719,                0.01198,               0.029316,              0.0054731,                0.81971,                0.92982,                0.88431,                0.59288,                0.73628,                0.85619,                0.79217,                0.60588,               0.032286,               0.011206,               0.023434,              0.0037645,               0.006535,               0.006535,               0.006535
                    107,               0.037144,               0.011475,                0.03034,              0.0047518,                0.62715,                0.93777,                0.82486,                0.50934,                0.62116,                0.85965,                0.78914,                0.52057,               0.036586,               0.010927,               0.024666,              0.0036604,               0.006502,               0.006502,               0.006502
                    108,               0.038997,               0.012585,               0.036595,              0.0043722,                0.89201,                0.89474,                 0.8991,                0.58584,                0.84135,                0.90812,                0.87216,                0.64855,               0.032488,                0.01116,               0.023678,              0.0036976,               0.006469,               0.006469,               0.006469
                    109,               0.037419,               0.012169,               0.030208,              0.0044739,                0.89201,                0.89474,                 0.8991,                0.58584,                0.84135,                0.90812,                0.87216,                0.64855,               0.032488,                0.01116,               0.023678,              0.0036976,               0.006436,               0.006436,               0.006436
                    110,               0.032376,               0.011656,               0.032892,              0.0042983,                0.87008,                0.84831,                 0.8479,                0.56221,                 0.7844,                0.90998,                0.84696,                0.63628,               0.031756,               0.011136,               0.023582,              0.0035706,               0.006403,               0.006403,               0.006403
