                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     77,               0.012132,               0.010541,               0.020704,             0.00088522,                0.99656,                0.98925,                0.99212,                0.89085,                0.99131,                 0.9828,                0.98302,                0.77876,               0.010524,              0.0097316,               0.017235,             0.00052458,               0.002476,               0.002476,               0.002476
                     78,               0.012099,                0.01027,               0.021918,             0.00080589,                0.99286,                 0.9885,                0.99205,                0.88877,                0.98686,                 0.9827,                0.98351,                0.78243,               0.010195,              0.0097517,               0.017569,             0.00061453,               0.002377,               0.002377,               0.002377
                     79,               0.011573,                0.01002,               0.021165,             0.00078498,                0.99097,                 0.9914,                0.99181,                0.89383,                  0.986,                 0.9871,                0.98358,                 0.7956,               0.010752,              0.0094891,               0.017421,             0.00048658,               0.002278,               0.002278,               0.002278
                     80,               0.011762,               0.010394,               0.020519,             0.00086633,                 0.9956,                 0.9914,                0.99207,                0.89937,                0.99119,                 0.9871,                0.98381,                0.78274,              0.0099726,              0.0094638,               0.016991,             0.00046799,               0.002179,               0.002179,               0.002179
                     81,               0.011284,               0.010006,               0.019632,             0.00073032,                0.99456,                0.98495,                0.99177,                0.89479,                0.99234,                 0.9828,                0.98333,                0.77202,               0.010024,               0.009604,               0.016864,             0.00043334,                0.00208,                0.00208,                0.00208
                     82,               0.011316,               0.010101,               0.020031,             0.00072034,                0.99788,                0.97634,                0.99142,                0.90175,                0.98297,                0.98562,                0.98371,                0.78956,               0.010024,              0.0096496,               0.016632,             0.00041659,               0.001981,               0.001981,               0.001981
                     83,                 0.0112,               0.010315,               0.020482,             0.00073567,                0.98956,                0.99185,                0.99238,                0.89921,                0.98741,                0.98975,                 0.9883,                0.78932,              0.0095506,              0.0096721,               0.016505,             0.00041993,               0.001882,               0.001882,               0.001882
                     84,               0.010846,               0.010387,               0.021517,             0.00072592,                0.99607,                 0.9914,                0.99214,                0.90308,                 0.9917,                 0.9871,                0.98403,                0.77796,              0.0095813,              0.0096329,               0.016831,             0.00041175,               0.001783,               0.001783,               0.001783
                     85,                0.01078,               0.010005,               0.020027,             0.00073581,                0.99605,                 0.9914,                0.99215,                0.91053,                0.99164,                 0.9871,                 0.9839,                0.78632,              0.0094204,              0.0097746,               0.016394,             0.00040448,               0.001684,               0.001684,               0.001684
                     86,               0.010786,               0.010641,               0.019275,              0.0006787,                0.99149,                 0.9914,                0.99205,                0.90438,                0.98712,                0.98714,                0.98353,                0.79198,              0.0091989,              0.0094503,               0.016255,             0.00042763,               0.001585,               0.001585,               0.001585
                     87,               0.010295,              0.0099469,               0.019425,             0.00063801,                0.99805,                 0.9871,                0.99207,                0.90758,                0.98895,                0.97849,                0.98056,                0.78362,              0.0093361,              0.0094325,                0.01643,             0.00041739,               0.001486,               0.001486,               0.001486
                     88,               0.010138,               0.010245,               0.018818,             0.00070504,                0.99737,                 0.9914,                0.99208,                0.90912,                0.99078,                0.98495,                0.97748,                0.78173,              0.0092527,              0.0094969,               0.016357,             0.00036835,               0.001387,               0.001387,               0.001387
                     89,              0.0099507,                0.01002,                0.01951,             0.00074905,                0.99579,                 0.9914,                0.99205,                0.90799,                0.99137,                 0.9871,                0.98371,                 0.7824,               0.009037,              0.0095413,               0.016558,             0.00035072,               0.001288,               0.001288,               0.001288
                     90,               0.010209,               0.010264,               0.019236,             0.00050576,                0.99693,                 0.9914,                 0.9921,                0.90814,                0.99254,                 0.9871,                0.98389,                0.78748,              0.0091486,              0.0095548,               0.016745,             0.00033804,               0.001189,               0.001189,               0.001189
                     91,              0.0097971,               0.010201,               0.020049,             0.00060679,                0.99601,                 0.9914,                0.99205,                0.91578,                0.99382,                0.98925,                0.98815,                0.79226,              0.0089202,              0.0094958,               0.016251,             0.00033206,                0.00109,                0.00109,                0.00109
                     92,              0.0094057,              0.0096468,               0.018532,             0.00057987,                0.99555,                 0.9914,                0.99213,                0.91071,                0.99336,                0.98925,                0.98853,                0.78616,              0.0089458,              0.0095664,               0.015902,             0.00031728,               0.000991,               0.000991,               0.000991
                     93,              0.0096245,               0.010228,               0.019767,             0.00061827,                 0.9967,                0.98888,                0.99214,                0.91188,                0.99007,                0.98248,                0.98431,                 0.7899,              0.0087863,              0.0094841,               0.015691,             0.00029997,               0.000892,               0.000892,               0.000892
                     94,              0.0095828,               0.010341,               0.019162,             0.00061545,                 0.9959,                 0.9914,                0.99214,                0.91334,                0.99153,                 0.9871,                 0.9847,                0.78732,              0.0086268,              0.0096134,               0.015524,             0.00027964,               0.000793,               0.000793,               0.000793
                     95,              0.0091509,               0.010552,               0.017962,             0.00057921,                0.99434,                 0.9914,                0.99196,                0.91633,                0.99217,                0.98925,                0.98838,                0.78709,              0.0085999,              0.0095508,                0.01561,             0.00027866,               0.000694,               0.000694,               0.000694
                     96,                0.00892,               0.010063,               0.017696,             0.00056193,                0.99444,                 0.9914,                0.99198,                0.91835,                0.99004,                 0.9871,                0.98421,                0.79161,              0.0085651,              0.0094666,               0.015559,             0.00026866,               0.000595,               0.000595,               0.000595
                     97,              0.0091707,               0.009985,               0.017991,              0.0005026,                0.99527,                0.98925,                0.99202,                0.91984,                0.99089,                0.98495,                0.98423,                0.79175,              0.0084887,              0.0094561,               0.015571,             0.00025463,               0.000496,               0.000496,               0.000496
                     98,              0.0089343,              0.0098853,               0.018581,             0.00086311,                  0.994,                0.98925,                0.99201,                0.92058,                0.98945,                0.98495,                0.98417,                0.79224,              0.0083922,              0.0093859,               0.015514,             0.00027518,               0.000397,               0.000397,               0.000397
                     99,              0.0088025,               0.010148,               0.019129,             0.00044153,                0.99612,                 0.9914,                0.99206,                0.92121,                0.99166,                 0.9871,                0.98442,                0.79203,               0.008383,              0.0094078,               0.015542,             0.00025593,               0.000298,               0.000298,               0.000298
                    100,                0.99601,                 0.9914,                0.99206,                  0.922,                0.99155,                 0.9871,                0.98442,                0.79208,              0.0083865,              0.0094084,               0.015547,             0.00025584
